
This is a live sample of trace from HI-406BT - http://localhost:50000/console/output  with "Level" box checked.

View	Row	Time	Level	Description
	115	06:30:00	*	$GPVTG,,T,,M,0.00,N,0.0,K,A*13
	116	06:30:00	*	$GPGGA,063006.000,3334.5666,N,11739.7744,W,1,05,2.0,140.0,M,-34.4,M,,0000*68
	117	06:30:01	*	$GPGSA,A,3,32,13,20,16,30,,,,,,,,6.2,2.0,5.9*3D
	118	06:30:01	*	$GPGSV,3,1,12,20,67,194,30,23,56,333,16,16,54,112,28,32,49,154,25*77
	119	06:30:01	*	$GPGSV,3,2,12,30,44,062,26,13,33,306,30,07,19,243,16,31,14,048,15*7E
	120	06:30:01	*	$GPGSV,3,3,12,01,09,205,,04,09,304,17,03,05,134,,06,03,120,*7F
	121	06:30:01	*	$GPRMC,063006.000,A,3334.5666,N,11739.7744,W,0.00,,021211,,,A*69
	122	06:30:01	*	$GPVTG,,T,,M,0.00,N,0.0,K,A*13
	123	06:30:01	*	$GPGGA,063007.000,3334.5666,N,11739.7744,W,1,05,2.0,140.0,M,-34.4,M,,0000*69
	124	06:30:02	*	$GPRMC,063007.000,A,3334.5666,N,11739.7744,W,0.00,,021211,,,A*68
	125	06:30:02	*	$GPVTG,,T,,M,0.00,N,0.0,K,A*13
	126	06:30:02	*	$GPGGA,063008.000,3334.5666,N,11739.7744,W,1,05,2.0,140.0,M,-34.4,M,,0000*66
	127	06:30:03	*	$GPRMC,063008.000,A,3334.5666,N,11739.7744,W,0.00,,021211,,,A*67
	128	06:30:03	*	$GPVTG,,T,,M,0.00,N,0.0,K,A*13
	129	06:30:03	*	$GPGGA,063009.000,3334.5666,N,11739.7744,W,1,05,2.0,140.0,M,-34.4,M,,0000*67
	130	06:30:04	*	$GPRMC,063009.000,A,3334.5666,N,11739.7744,W,0.00,,021211,,,A*66
	131	06:30:04	*	$GPVTG,,T,,M,0.00,N,0.0,K,A*13
	132	06:30:04	*	$GPGGA,063010.000,3334.5666,N,11739.7744,W,1,05,2.0,140.0,M,-34.4,M,,0000*6F
	133	06:30:05	*	$GPRMC,063010.000,A,3334.5666,N,11739.7744,W,0.00,,021211,,,A*6E
	134	06:30:05	*	$GPVTG,,T,,M,0.00,N,0.0,K,A*13
	135	06:30:05	*	$GPGGA,063011.000,3334.5666,N,11739.7744,W,1,06,1.8,140.0,M,-34.4,M,,0000*66
	136	06:30:05	*	$GPGSA,A,3,32,31,13,20,16,30,,,,,,,3.9,1.8,3.5*30
	137	06:30:06	*	$GPGSV,3,1,12,20,67,194,31,23,56,333,14,16,54,112,28,32,49,154,24*75
	138	06:30:06	*	$GPGSV,3,2,12,30,44,062,23,13,33,306,30,07,19,243,16,31,14,048,19*77
	139	06:30:06	*	$GPGSV,3,3,12,01,09,205,10,04,09,304,16,03,05,134,,06,03,120,*7F
	140	06:30:06	*	$GPRMC,063011.000,A,3334.5666,N,11739.7744,W,0.00,,021211,,,A*6F
	141	06:30:06	*	$GPVTG,,T,,M,0.00,N,0.0,K,A*13
	142	06:30:06	*	$GPGGA,063012.000,3334.5666,N,11739.7744,W,1,06,1.8,140.0,M,-34.4,M,,0000*65
	143	06:30:06	*	$GPRMC,063012.000,A,3334.5666,N,11739.7744,W,0.00,,021211,,,A*6C
	144	06:30:06	*	$GPVTG,,T,,M,0.00,N,0.0,K,A*13
	145	06:30:07	*	$GPGGA,063013.000,3334.5666,N,11739.7744,W,1,06,1.8,140.0,M,-34.4,M,,0000*64
	146	06:30:07	*	$GPRMC,063013.000,A,3334.5666,N,11739.7744,W,0.00,,021211,,,A*6D
	147	06:30:08	*	$GPVTG,,T,,M,0.00,N,0.0,K,A*13
	148	06:30:08	*	$GPGGA,063014.000,3334.5666,N,11739.7744,W,1,06,1.8,140.0,M,-34.4,M,,0000*63
	149	06:30:08	*	$GPRMC,063014.000,A,3334.5666,N,11739.7744,W,0.00,,021211,,,A*6A
	150	06:30:09	*	$GPVTG,,T,,M,0.00,N,0.0,K,A*13
	151	06:30:09	*	$GPGGA,063015.000,3334.5666,N,11739.7744,W,1,06,1.8,140.0,M,-34.4,M,,0000*62
	152	06:30:10	*	$GPRMC,063015.000,A,3334.5666,N,11739.7744,W,0.00,,021211,,,A*6B
	153	06:30:10	*	$GPVTG,,T,,M,0.00,N,0.0,K,A*13
	154	06:30:10	*	$GPGGA,063016.000,3334.5666,N,11739.7744,W,1,06,1.8,140.0,M,-34.4,M,,0000*61
	155	06:30:11	*	$GPGSA,A,3,32,31,13,20,16,30,,,,,,,3.9,1.8,3.5*30
	156	06:30:11	*	$GPGSV,3,1,12,20,67,194,31,23,56,333,13,16,54,111,29,32,48,154,18*7E
	157	06:30:11	*	$GPGSV,3,2,12,30,43,062,24,13,33,306,30,07,19,243,15,31,14,049,18*74
	158	06:30:11	*	$GPGSV,3,3,12,04,09,303,16,01,08,205,10,03,05,134,,06,03,119,*73
	159	06:30:11	*	$GPRMC,063016.000,A,3334.5666,N,11739.7744,W,0.00,,021211,,,A*68
	160	06:30:11	*	$GPVTG,,T,,M,0.00,N,0.0,K,A*13
	161	06:30:11	*	$GPGGA,063017.000,3334.5666,N,11739.7744,W,1,06,1.8,140.0,M,-34.4,M,,0000*60
	162	06:30:11	*	$GPRMC,063017.000,A,3334.5666,N,11739.7744,W,0.00,,021211,,,A*69
	163	06:30:12	*	$GPVTG,,T,,M,0.00,N,0.0,K,A*13
	164	06:30:12	*	$GPGGA,063018.000,3334.5666,N,11739.7744,W,1,06,1.8,140.0,M,-34.4,M,,0000*6F
	165	06:30:13	*	$GPRMC,063018.000,A,3334.5666,N,11739.7744,W,0.00,,021211,,,A*66
	166	06:30:13	*	$GPVTG,,T,,M,0.00,N,0.0,K,A*13
	167	06:30:13	*	$GPGGA,063019.000,3334.5666,N,11739.7744,W,1,06,1.8,140.0,M,-34.4,M,,0000*6E
	168	06:30:14	*	$GPRMC,063019.000,A,3334.5666,N,11739.7744,W,0.00,,021211,,,A*67
	169	06:30:14	*	$GPVTG,,T,,M,0.00,N,0.0,K,A*13
	170	06:30:15	*	$GPGGA,063020.000,3334.5666,N,11739.7744,W,1,06,1.8,140.0,M,-34.4,M,,0000*64
	171	06:30:15	*	$GPRMC,063020.000,A,3334.5666,N,11739.7744,W,0.00,,021211,,,A*6D
	172	06:30:15	*	$GPVTG,,T,,M,0.00,N,0.0,K,A*13
	173	06:30:15	*	$GPGGA,063021.000,3334.5666,N,11739.7744,W,1,06,1.8,140.0,M,-34.4,M,,0000*65
	174	06:30:15	*	$GPGSA,A,3,32,31,13,20,16,30,,,,,,,3.9,1.8,3.5*30
	175	06:30:16	*	$GPGSV,3,1,12,20,67,194,32,23,56,333,17,16,54,111,29,32,48,154,19*78
	176	06:30:16	*	$GPGSV,3,2,12,30,43,062,24,13,33,306,29,07,19,243,,31,14,049,18*78
	177	06:30:16	*	$GPGSV,3,3,12,04,09,303,16,01,08,205,13,03,05,134,,06,03,119,*70
	178	06:30:16	*	$GPRMC,063021.000,A,3334.5666,N,11739.7744,W,0.00,,021211,,,A*6C
	179	06:30:16	*	$GPVTG,,T,,M,0.00,N,0.0,K,A*13
	180	06:30:17	*	$GPGGA,063022.000,3334.5666,N,11739.7744,W,1,06,1.8,140.0,M,-34.4,M,,0000*66
	181	06:30:17	*	$GPRMC,063022.000,A,3334.5666,N,11739.7744,W,0.00,,021211,,,A*6F
	182	06:30:17	*	$GPVTG,,T,,M,0.00,N,0.0,K,A*13
	183	06:30:17	*	$GPGGA,063023.000,3334.5666,N,11739.7744,W,1,05,3.0,140.0,M,-34.4,M,,0000*6E
	184	06:30:18	*	$GPRMC,063023.000,A,3334.5666,N,11739.7744,W,0.00,,021211,,,A*6E
	185	06:30:18	*	$GPVTG,,T,,M,0.00,N,0.0,K,A*13
	186	06:30:18	*	$GPGGA,063024.000,3334.5666,N,11739.7744,W,1,05,3.0,140.0,M,-34.4,M,,0000*69
	187	06:30:19	*	$GPRMC,063024.000,A,3334.5666,N,11739.7744,W,0.00,,021211,,,A*69
